Name,Gender,Age,Occupation,ZIP-code
Missie Fifoot,F,1,0,296
Josh Akett,M,25,20,951
Nikolas Gullam,M,35,14,941
Morie Brumbie,M,56,0,443
Dickie Grute,M,45,10,940
Dulcea Saxby,F,25,17,104
Krisha Karlolak,M,25,1,104
Colin Coatman,M,18,3,445
Diann Ragge,F,25,20,272
Roxanne Draycott,F,50,6,430
Jasmin Ordelt,F,45,2,531
Myles Shellcross,M,25,9,923
Arlin Mitrovic,M,56,8,53
Eleanor Kytley,F,25,18,410
Lorraine O'Rafferty,F,18,4,336
Stavro Caughte,M,25,5,857
Gillie Colmer,F,18,20,70
Den Veschi,M,25,0,274
Laverna Sallenger,F,25,3,346
Margot Fazackerley,F,25,8,236
Alvy Fancett,M,18,15,502
Frans Vasentsov,M,25,1,465
Shanan Baumford,M,56,2,655
Magdaia Musson,F,1,14,111
Bryanty MacKibbon,M,25,19,522
Vera Gorghetto,F,1,3,484
Taddeo Bruyns,M,25,11,953
Pepito Robarts,M,50,11,700
Ida De la Feld,F,56,19,485
Vito Bischof,M,1,20,175
Gaylor Dobble,M,1,14,605
Dicky Bertlin,M,25,13,726
Everett Mulcahy,M,35,14,56
Stan Corkan,M,56,11,977
Case Clint,M,18,14,945
Gussie Hardy-Piggin,F,25,10,727
My Snazle,M,18,11,847
Carol-jean Fuchs,F,18,1,809
Claire Tremouille,M,25,3,463
Wadsworth Mordan,M,45,5,481
Ofelia Boud,F,25,7,923
Norean Wethers,F,25,15,764
Rich Kynton,M,25,14,373
Sheppard Glyssanne,M,18,4,28
Vladamir Hospital,M,18,2,630
Mozes Baud,M,25,4,596
Jaquith Paliser,F,45,11,722
Marj Lark,F,1,4,532
Vic Abramamov,M,1,12,173
Adriano Jirak,M,35,4,672
