Name,Gender,Age,Occupation,ZIP-code
Constantine Sand,M,25,12,801
Darbee Postians,M,56,0,735
Amby Denerley,M,25,0,54
Tanitansy Angelini,F,50,0,582
Max Tanton,M,1,0,314
Arabelle Gregan,F,45,20,971
Darsey Akroyd,F,35,5,558
Nessa Lage,F,1,6,840
Margaret Whitwell,F,18,14,307
Neil Fumagall,M,50,15,772
Dale Christall,M,25,2,186
Hamnet Baumford,M,25,10,118
Benson Gorthy,M,50,13,730
Gannie Dunkerk,M,25,3,537
Gwenore Oulett,F,25,8,967
Janka Dewbury,F,25,0,173
Jone Torres,M,25,8,262
Jorry Willett,F,45,6,547
Anne-marie Bendik,F,45,16,122
Enrichetta Lacky,F,25,17,911
Skell Cottie,M,50,0,933
Ysabel Benko,F,50,13,165
Nathanial Turbill,M,1,2,474
Gus Macak,M,56,0,480
Sarine Krol,F,35,5,191
Leigha Brasher,F,18,10,197
Susann Beales,F,25,14,837
Warner Adamovitch,M,45,1,410
Freddie Garber,M,18,14,224
Christoper De Andreis,M,25,10,640
Malinde Cammiemile,F,50,7,24
Romain Kupper,M,18,0,752
Rikki Scholey,F,45,13,974
Mildred Stiven,F,1,8,123
Don Struthers,M,35,7,24
Trenton Measey,M,1,0,208
Rodger Gaine of England,M,50,15,130
Gerty Shayler,F,1,12,223
Kippy Snar,F,45,18,797
Laney Mosson,M,1,2,741
Erek Cheetam,M,25,17,953
Moselle Pauli,F,18,11,559
Shayne Georgiades,F,25,7,826
Nichole Bougen,F,45,4,441
Joshua McMickan,M,45,12,980
Homerus Mollen,M,1,17,361
Lurlene Yeandel,F,18,16,662
Killian Spatari,M,35,0,549
Addia Tight,F,1,11,838
Tresa Iltchev,F,25,12,90
