Name,Gender,Age,Occupation,ZIP-code
Jocelin Coumbe,F,18,1,193
Reider Torrans,M,35,20,281
Guthrie Scroyton,M,18,0,18
Daffie Morrel,F,45,6,396
Etheline MacGlory,F,50,19,863
Tarrah Petras,F,1,16,951
Thaddeus Wolver,M,45,14,480
Isadora Dodamead,F,50,6,294
Shawn Glandfield,M,45,17,286
Andria Gribbon,F,1,20,622
Chrisy MacCard,M,18,0,468
Verena Payn,F,45,13,559
Averil Lyall,F,56,3,503
Mervin Ridger,M,45,0,480
Ethelind Thorouggood,F,56,15,908
Rodger Romeuf,M,56,0,629
Jenn Butters,F,18,9,235
Marylin Kinzel,F,45,2,89
Pennie Cremer,F,18,2,484
Aloisia De Roberto,F,25,3,612
Willa Mayer,F,1,19,700
Jacobo Streight,M,45,15,531
Dare Latan,M,25,3,194
Guthrey Nellies,M,50,13,220
Frederich Hustler,M,56,0,875
Rodolph Rubenchik,M,1,16,623
Nickola Plumm,M,35,10,894
Melicent Greger,F,35,13,42
Coralyn Laxston,F,56,10,919
Karmen Gouldbourn,F,18,14,460
Barnabe Greenig,M,56,10,130
Vidovik Rasell,M,18,15,535
Carley Tortice,F,25,6,292
Lainey Saladin,F,50,8,244
Sauveur Monkman,M,50,16,378
Daisie Ramos,F,18,13,198
Winna Mainston,F,35,17,551
Nola Bockin,F,35,16,971
Merola Connolly,F,56,4,836
Dee Slowey,F,56,15,109
Hazel Speddin,M,25,12,752
Renaud Baradel,M,25,0,280
Nadeen Bullivant,F,1,0,720
Chantalle Charley,F,50,14,210
Darci Matyatin,F,50,1,377
Ninnetta McNeice,F,1,16,410
Aguie Heaslip,M,35,11,458
Vinnie Callis,F,25,4,954
Mahalia De Banke,F,35,16,502
Ives Stolli,M,50,0,323
