Name,Gender,Age,Occupation,ZIP-code
Efren Mityukov,M,1,16,171
Adella Edser,F,18,8,658
Mavis Dever,F,18,17,985
Merell Burless,M,18,17,180
Esma Dillow,F,25,0,752
Tobi Baigrie,F,56,8,85
Emmery Morfett,M,25,1,100
Lonni Brailey,F,35,5,590
Boothe Carratt,M,18,8,840
Enriqueta Billham,F,56,1,436
Danika Wais,F,25,16,301
Chrotoem Calleja,M,25,11,492
Van Hakes,M,56,3,924
Carlotta Orniz,F,56,9,453
Clayborne Ourry,M,35,11,799
Ferguson Broggelli,M,35,17,209
Lorene Woodyatt,F,56,5,878
Shelly Bushell,F,1,9,613
Lynnelle Jacobsohn,F,56,4,629
Sol Struss,M,50,2,459
Coralyn Glowach,F,1,16,69
Romona Lightewood,F,35,11,140
Alard Keely,M,56,4,833
Parke Keets,M,45,2,681
Lorrin Gunbie,F,45,11,236
Renelle Szach,F,25,8,63
Dicky Bertlin,M,1,2,161
Clifford Oldershaw,M,35,14,971
Tate McAtamney,M,56,14,306
Blanche Brandenberg,F,1,20,381
Filberto Overall,M,50,6,40
Monica Britt,F,18,10,980
Claudina Le Leu,F,50,6,378
Giff Burleton,M,35,10,70
Jerry Perrigo,M,50,19,986
Tandi Sibary,F,50,5,894
Kevyn Bines,F,50,2,902
Maye Frankel,F,1,6,580
Jules Clyde,M,18,17,596
Nikolaus Storah,M,18,17,726
Haleigh Chalmers,M,50,14,334
Klaus Curthoys,M,56,4,131
Cirillo Goodsal,M,25,7,741
Cord Jereatt,M,1,1,98
Zachery Milnthorpe,M,56,14,115
Brita Outram,F,25,9,951
Heather Turle,F,35,15,211
Chaunce Pullar,M,35,9,157
Melitta Rhucroft,F,56,19,460
Regine Brocking,F,1,5,88
