Name,Gender,Age,Occupation,ZIP-code
Dirk Smyley,M,35,7,601
Gregoire Bater,M,56,20,212
Juan Von Welldun,M,35,17,382
Nester Melwall,M,18,20,760
Gerome Bristo,M,25,0,201
Augustine De Filippo,M,45,0,131
Ashli Buckner,F,50,12,622
Janessa Yitzhakof,F,45,18,285
Colly Grasser,F,45,9,627
Yolanda De Bernardis,F,56,2,596
Consuelo Klimsch,F,1,7,597
Ruddy Arrigucci,M,50,4,917
Gasper Borland,M,1,0,945
Farlay Dutnall,M,25,0,952
Hugo Eberz,M,56,15,123
Carri McGeoch,F,18,12,136
Pietro Venediktov,M,25,17,38
Krispin Sandall,M,1,2,940
Ellene Pleuman,F,25,17,815
Marvin De Stoop,M,45,2,930
Wynny Chupin,F,35,4,603
Casar Raulstone,M,45,2,905
Ame Frayne,F,1,11,836
York Bauduccio,M,25,4,132
Delbert Mueller,M,56,0,741
Riordan Bladesmith,M,25,1,443
Ethel Vigurs,F,56,0,349
Malvin Ibbison,M,56,17,314
Frederich Rooke,M,45,2,20
Jacob Beever,M,35,13,773
Jocelin Belloch,F,25,0,201
Nyssa Lanphere,F,45,13,142
Red Burtt,M,35,0,441
Terri Michin,F,25,6,41
Crosby Feaver,M,25,16,618
Ollie Kinforth,M,18,4,503
Tully Pfeffle,M,45,17,128
Armstrong Deekes,M,25,14,360
Lorant Beresford,M,25,6,551
Bern Bartolic,M,45,0,89
Arnaldo Blackbourn,M,50,0,338
Ezechiel Still,M,35,12,165
Levy Le Conte,M,35,1,274
Shanie Whittlesey,F,45,4,83
Con Wilford,F,25,17,441
Henri Croser,M,25,1,372
Sherman Saveall,M,35,14,902
Justine Heineken,F,45,14,354
Margaret Watters,F,45,11,435
Cosette Wimbush,F,45,12,912
